8stdev  0.826, time : 1834398500.000
mean :  1.125, stdev :  0.165, reliability :  0.854, time : 1836402900.000
mean :  1.065, stdev :  0.171, reliability :  0.839, time : 1836425900.000
mean :  1.008, stdev :  0.154, reliability :  0.847, time : 1836447600.000
mean :  0.952, stdev :  0.164, reliability :  0.828, time : 1836473600.000
mean :  0.913, stdev :  0.166, reliability :  0.819, time : 1836494700.000
mean :  0.883, stdev :  0.164, reliability :  0.814, time : 1836519000.000
mean :  0.888, stdev :  0.163, reliability :  0.817, time : 1836541200.000
mean :  0.903, stdev :  0.164, reliability :  0.818, time : 1836562700.000
mean :  0.902, stdev :  0.163, reliability :  0.819, time : 1836588500.000
mean :  0.893, stdev :  0.165, reliability :  0.815, time : 1836609900.000
mean :  0.875, stdev :  0.157, reliability :  0.820, time : 1836634900.000
mean :  0.853, stdev :  0.161, reliability :  0.811, time : 1836656500.000
mean :  0.834, stdev :  0.163, reliability :  0.805, time : 1836678100.000
mean :  0.812, stdev :  0.159, reliability :  0.805, time : 1836703600.000
mean :  0.801, stdev :  0.161, reliability :  0.799, time : 1836725200.000
mean :  0.788, stdev :  0.156, reliability :  0.802, time : 1836750500.000
mean :  0.762, stdev :  0.160, reliability :  0.791, time : 1836771600.000
mean :  0.737, stdev :  0.162, reliability :  0.781, time : 1836793900.000
mean :  0.704, stdev :  0.153, reliability :  0.783, time : 1836818400.000
mean :  0.679, stdev :  0.159, reliability :  0.766, time : 1836840400.000
mean :  0.666, stdev :  0.158, reliability :  0.763, time : 1836865400.000
mean :  0.651, stdev :  0.157, reliability :  0.759, time : 1836886800.000
mean :  0.640, stdev :  0.159, reliability :  0.752, time : 1836909600.000
mean :  0.631, stdev :  0.154, reliability :  0.756, time : 1836933100.000
mean :  0.614, stdev :  0.158, reliability :  0.742, time : 1836955300.000
mean :  0.594, stdev :  0.160, reliability :  0.730, time : 1836980600.000
mean :  0.574, stdev :  0.155, reliability :  0.731, time : 1837002000.000
mean :  0.562, stdev :  0.158, reliability :  0.718, time : 1837025200.000
