v
  0.176, reliability : -0.545, time : 220393970.000
mean :  0.090, stdev :  0.135, reliability : -0.500, time : 222404400.000
mean :  0.092, stdev :  0.137, reliability : -0.497, time : 222426820.000
mean :  0.090, stdev :  0.138, reliability : -0.529, time : 222449150.000
mean :  0.089, stdev :  0.132, reliability : -0.477, time : 222471390.000
mean :  0.090, stdev :  0.135, reliability : -0.505, time : 222493940.000
mean :  0.088, stdev :  0.137, reliability : -0.557, time : 222516240.000
mean :  0.088, stdev :  0.133, reliability : -0.511, time : 222538380.000
mean :  0.088, stdev :  0.132, reliability : -0.500, time : 222560980.000
mean :  0.089, stdev :  0.137, reliability : -0.531, time : 222583280.000
mean :  0.089, stdev :  0.134, reliability : -0.502, time : 222605470.000
mean :  0.091, stdev :  0.136, reliability : -0.491, time : 222627900.000
mean :  0.091, stdev :  0.140, reliability : -0.530, time : 222650210.000
mean :  0.090, stdev :  0.133, reliability : -0.478, time : 222672480.000
mean :  0.089, stdev :  0.133, reliability : -0.494, time : 222694910.000
mean :  0.087, stdev :  0.131, reliability : -0.506, time : 222717230.000
mean :  0.090, stdev :  0.133, reliability : -0.477, time : 222739410.000
mean :  0.092, stdev :  0.138, reliability : -0.499, time : 222761890.000
mean :  0.084, stdev :  0.130, reliability : -0.544, time : 222784220.000
mean :  0.090, stdev :  0.136, reliability : -0.512, time : 222806460.000
mean :  0.090, stdev :  0.133, reliability : -0.487, time : 222829010.000
mean :  0.085, stdev :  0.131, reliability : -0.534, time : 222851300.000
mean :  0.093, stdev :  0.141, reliability : -0.511, time : 222873540.000
mean :  0.092, stdev :  0.138, reliability : -0.504, time : 222896050.000
mean :  0.085, stdev :  0.129, reliability : -0.528, time : 222918290.000
mean :  0.091, stdev :  0.135, reliability : -0.488, time : 222940510.000
mean :  0.089, stdev :  0.133, reliability : -0.499, time : 222963040.000
mean :  0.087, stdev :  0.135, reliability : -0.547, time : 222985340.000
mean :  0.089, stdev :  0.132, reliability : -0.478, time : 223007550.000
mean :  0.091, stdev :  0.136, reliability : -0.496, time : 223030060.000
mean :  0.086, stdev :  0.131, reliability : -0.524, time : 223052350.000
mean :  0.092, stdev :  0.136, reliability : -0.485, time : 223074590.000
mean :  0.092, stdev :  0.138, reliability : -0.491, time : 223097070.000
mean :  0.085, stdev :  0.131, reliability : -0.542, time : 223119310.000
mean :  0.089, stdev :  0.134, reliability : -0.505, time : 223141570.000
mean :  0.017, stdev :  0.032, reliability : -0.851, time : 223163950.000
mean :  0.176, stdev :  0.130, reliability :  0.261, time : 223186370.000
mean :  0.216, stdev :  0.133, reliability :  0.384, time : 223209250.000
mean :  0.210, stdev :  0.132, reliability :  0.372, time : 223231940.000
mean :  0.148, stdev :  0.106, reliability :  0.279, time : 223254740.000
mean :  0.162, stdev :  0.114, reliability :  0.295, time : 223277470.000
mean :  0.170, stdev :  0.117, reliability :  0.314, time : 223300160.000
mean :  0.151, stdev :  0.111, reliability :  0.264, time : 223322940.000
mean :  0.137, stdev :  0.108, reliability :  0.216, time : 223345620.000
mean :  0.112, stdev :  0.092, reliability :  0.182, time : 223368350.000
mean :  0.118, stdev :  0.095, reliability :  0.193, time : 223391170.000
mean :  0.161, stdev :  0.113, reliability :  0.296, time : 223413740.000
mean :  0.207, stdev :  0.131, reliability :  0.367, time : 223436500.000
mean :  0.242, stdev :  0.143, reliability :  0.409, time : 223459330.000
mean :  0.243, stdev :  0.140, reliability :  0.423, time : 223482060.000
mean :  0.158, stdev :  0.113, reliability :  0.289, time : 223504940.000
mean :  0.135, stdev :  0.101, reliability :  0.251, time : 223527650.000
mean :  0.144, stdev :  0.105, reliability :  0.268, time : 223550300.000
mean :  0.140, stdev :  0.106, reliability :  0.243, time : 223573090.000
mean :  0.157, stdev :  0.113, reliability :  0.282, time : 223595710.000
mean :  0.171, stdev :  0.115, reliability :  0.323, time : 223618430.000
mean :  0.150, stdev :  0.110, reliability :  0.266, time : 223641280.000
mean :  0.179, stdev :  0.124, reliability :  0.306, time : 223663900.000
mean :  0.195, stdev :  0.129, reliability :  0.337, time : 223686660.000
mean :  0.207, stdev :  0.131, reliability :  0.369, time : 223709490.000
mean :  0.221, stdev :  0.138, reliability :  0.373, time : 223732160.000
mean :  0.206, stdev :  0.133, reliability :  0.354, time : 223754960.000
mean :  0.186, stdev :  0.126, reliability :  0.324, time : 223777740.000
mean :  0.201, stdev :  0.131, reliability :  0.349, time : 223800420.000
mean :  0.222, stdev :  0.143, reliability :  0.355, time : 223823200.000
mean :  0.249, stdev :  0.147, reliability :  0.411, time : 223845900.000
mean :  0.257, stdev :  0.148, reliability :  0.423, time : 223868770.000
mean :  0.214, stdev :  0.140, reliability :  0.349, time : 223891650.000
mean :  0.212, stdev :  0.139, reliability :  0.343, time : 223914290.000
mean :  0.221, stdev :  0.140, reliability :  0.367, time : 223937070.000
mean :  0.224, stdev :  0.140, reliability :  0.374, time : 223959860.000
mean :  0.236, stdev :  0.145, reliability :  0.384, time : 223982530.000
mean :  0.237, stdev :  0.144, reliability :  0.394, time : 224005330.000
mean :  0.244, stdev :  0.144, reliability :  0.408, time : 224028140.000
mean :  0.271, stdev :  0.157, reliability :  0.418, time : 224050880.000
mean :  0.282, stdev :  0.160, reliability :  0.434, time : 224073740.000
mean :  0.292, stdev :  0.156, reliability :  0.465, time : 224096540.000
mean :  0.292, stdev :  0.157, reliability :  0.462, time : 224119460.000
mean :  0.307, stdev :  0.164, reliability :  0.465, time : 224142340.000
mean :  0.309, stdev :  0.162, reliability :  0.475, time : 224165250.000
mean :  0.296, stdev :  0.156, reliability :  0.472, time : 224188110.000
mean :  0.261, stdev :  0.158, reliability :  0.394, time : 224210990.000
mean :  0.229, stdev :  0.141, reliability :  0.384, time : 224233740.000
mean :  3.408, stdev :  2.084, reliability :  0.389, time : 224256560.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 224279420.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 224302580.000
mean :  4.765, stdev :  0.289, reliability :  0.939, time : 224325760.000
mean :  4.761, stdev :  0.291, reliability :  0.939, time : 224348910.000
mean :  4.767, stdev :  0.291, reliability :  0.939, time : 224372100.000
mean :  4.766, stdev :  0.288, reliability :  0.940, time : 224395260.000
