mean :  0.080, stdev :  0.102, reliability : -0.263, time : 2095788200.000
mean :  0.077, stdev :  0.098, reliability : -0.278, time : 2095811500.000
mean :  0.066, stdev :  0.093, reliability : -0.403, time : 2095834200.000
mean :  0.046, stdev :  0.069, reliability : -0.498, time : 2095855700.000
mean :  0.071, stdev :  0.097, reliability : -0.363, time : 2095880300.000
mean :  0.069, stdev :  0.094, reliability : -0.369, time : 2095901400.000
mean :  0.069, stdev :  0.096, reliability : -0.379, time : 2095922600.000
mean :  0.059, stdev :  0.085, reliability : -0.442, time : 2095948400.000
mean :  0.054, stdev :  0.080, reliability : -0.497, time : 2095968600.000
mean :  0.062, stdev :  0.090, reliability : -0.445, time : 2095991300.000
mean :  0.065, stdev :  0.090, reliability : -0.393, time : 2096014500.000
mean :  0.052, stdev :  0.077, reliability : -0.482, time : 2096035700.000
mean :  0.085, stdev :  0.105, reliability : -0.246, time : 2096060500.000
mean :  0.091, stdev :  0.112, reliability : -0.227, time : 2096081400.000
mean :  0.059, stdev :  0.083, reliability : -0.405, time : 2096102700.000
mean :  0.085, stdev :  0.107, reliability : -0.260, time : 2096128400.000
mean :  0.072, stdev :  0.097, reliability : -0.354, time : 2096148600.000
mean :  0.059, stdev :  0.086, reliability : -0.453, time : 2096171800.000
mean :  0.063, stdev :  0.088, reliability : -0.387, time : 2096194700.000
mean :  0.057, stdev :  0.084, reliability : -0.465, time : 2096215800.000
mean :  0.084, stdev :  0.101, reliability : -0.208, time : 2096240400.000
mean :  0.121, stdev :  0.124, reliability : -0.030, time : 2096261500.000
mean :  0.099, stdev :  0.115, reliability : -0.159, time : 2096283000.000
mean :  0.095, stdev :  0.113, reliability : -0.195, time : 2096308900.000
mean :  0.093, stdev :  0.112, reliability : -0.201, time : 2096328800.000
mean :  0.120, stdev :  0.126, reliability : -0.051, time : 2096352500.000
mean :  0.129, stdev :  0.130, reliability : -0.005, time : 2096375000.000
mean :  0.119, stdev :  0.124, reliability : -0.039, time : 2096396500.000
mean :  0.114, stdev :  0.124, reliability : -0.081, time : 2096422400.000
mean :  0.116, stdev :  0.125, reliability : -0.078, time : 2096442800.000
mean :  0.112, stdev :  0.123, reliability : -0.104, time : 2096465000.000
mean :  0.131, stdev :  0.129, reliability :  0.017, time : 2096489500.000
mean :  0.143, stdev :  0.133, reliability :  0.069, time : 2096510500.000
mean :  0.113, stdev :  0.121, reliability : -0.070, time : 2096535400.000
mean :  0.101, stdev :  0.125, reliability : -0.240, time : 2096556500.000
mean :  0.078, stdev :  0.098, reliability : -0.262, time : 2096577900.000
mean :  0.057, stdev :  0.082, reliability : -0.443, time : 2096603800.000
mean :  0.075, stdev :  0.099, reliability : -0.316, time : 2096623600.000
mean :  0.080, stdev :  0.103, reliability : -0.284, time : 2096646900.000
mean :  0.079, stdev :  0.102, reliability : -0.291, time : 2096669800.000
mean :  0.262, stdev :  0.305, reliability : -0.163, time : 2096691100.000
mean :  0.204, stdev :  0.277, reliability : -0.354, time : 2096715900.000
mean :  0.001, stdev :  0.004, reliability : -5.702, time : 2096736800.000
mean :  0.189, stdev :  0.288, reliability : -0.522, time : 2096757600.000
mean :  0.043, stdev :  0.095, reliability : -1.206, time : 2096783700.000
mean :  0.062, stdev :  0.088, reliability : -0.418, time : 2096803500.000
mean :  0.086, stdev :  0.107, reliability : -0.240, time : 2096825100.000
mean :  0.268, stdev :  0.291, reliability : -0.086, time : 2096849900.000
mean :  0.162, stdev :  0.248, reliability : -0.525, time : 2096870700.000
mean :  0.220, stdev :  0.312, reliability : -0.420, time : 2096895000.000
mean :  0.069, stdev :  0.096, reliability : -0.391, time : 2096916200.000
mean :  0.091, stdev :  0.109, reliability : -0.191, time : 2096937200.000
mean :  0.096, stdev :  0.112, reliability : -0.171, time : 2096963200.000
mean :  0.082, stdev :  0.105, reliability : -0.290, time : 2096983600.000
mean :  0.081, stdev :  0.104, reliability : -0.286, time : 2097005600.000
mean :  0.075, stdev :  0.098, reliability : -0.310, time : 2097030100.000
mean :  0.073, stdev :  0.099, reliability : -0.355, time : 2097050800.000
mean :  0.093, stdev :  0.110, reliability : -0.179, time : 2097075300.000
mean :  0.097, stdev :  0.113, reliability : -0.174, time : 2097096600.000
mean :  0.082, stdev :  0.105, reliability : -0.281, time : 2097117700.000
mean :  0.054, stdev :  0.095, reliability : -0.758, time : 2097143900.000
mean :  0.007, stdev :  0.021, reliability : -1.881, time : 2097163600.000
mean :  0.005, stdev :  0.015, reliability : -1.837, time : 2097184800.000
mean :  0.006, stdev :  0.015, reliability : -1.667, time : 2097210100.000
mean :  0.026, stdev :  0.043, reliability : -0.642, time : 2097229800.000
mean :  0.026, stdev :  0.043, reliability : -0.664, time : 2097252600.000
mean :  0.030, stdev :  0.049, reliability : -0.615, time : 2097275900.000
mean :  0.039, stdev :  0.057, reliability : -0.466, time : 2097296500.000
mean :  0.033, stdev :  0.051, reliability : -0.542, time : 2097321000.000
mean :  0.027, stdev :  0.044, reliability : -0.645, time : 2097342200.000
mean :  3.717, stdev :  1.680, reliability :  0.548, time : 2097363200.000
mean :  4.590, stdev :  0.434, reliability :  0.905, time : 2097389400.000
mean :  4.592, stdev :  0.439, reliability :  0.904, time : 2097409900.000
mean :  4.586, stdev :  0.438, reliability :  0.904, time : 2097434100.000
mean :  4.575, stdev :  0.445, reliability :  0.903, time : 2097456800.000
mean :  4.560, stdev :  0.460, reliability :  0.899, time : 2097478500.000
mean :  4.577, stdev :  0.441, reliability :  0.904, time : 2097504900.000
mean :  4.587, stdev :  0.433, reliability :  0.906, time : 2097525400.000
mean :  4.606, stdev :  0.434, reliability :  0.906, time : 2097550500.000
mean :  4.583, stdev :  0.439, reliability :  0.904, time : 2097572200.000
mean :  4.600, stdev :  0.429, reliability :  0.907, time : 2097594400.000
mean :  4.622, stdev :  0.424, reliability :  0.908, time : 2097620000.000
mean :  4.600, stdev :  0.431, reliability :  0.906, time : 2097641000.000
mean :  4.596, stdev :  0.438, reliability :  0.905, time : 2097666400.000
mean :  4.570, stdev :  0.446, reliability :  0.902, time : 2097687800.000
mean :  4.573, stdev :  0.445, reliability :  0.903, time : 2097710700.000
mean :  4.591, stdev :  0.437, reliability :  0.905, time : 2097734800.000
mean :  4.586, stdev :  0.441, reliability :  0.904, time : 2097756300.000
mean :  4.607, stdev :  0.434, reliability :  0.906, time : 2097782700.000
mean :  4.603, stdev :  0.429, reliability :  0.907, time : 2097803100.000
mean :  4.600, stdev :  0.432, reliability :  0.906, time : 2097827100.000
mean :  4.607, stdev :  0.434, reliability :  0.906, time : 2097849900.000
mean :  4.593, stdev :  0.437, reliability :  0.905, time : 2097871600.000
mean :  4.605, stdev :  0.433, reliability :  0.906, time : 2097897900.000
mean :  4.601, stdev :  0.430, reliability :  0.907, time : 2097918500.000
mean :  4.589, stdev :  0.435, reliability :  0.905, time : 2097943200.000
mean :  4.601, stdev :  0.434, reliability :  0.906, time : 2097965300.000
mean :  4.588, stdev :  0.437, reliability :  0.905, time : 2097987200.000
mean :  4.599, stdev :  0.432, reliability :  0.906, time : 2098013200.000
mean :  4.598, stdev :  0.432, reliability :  0.906, time : 2098033900.000
mean :  4.587, stdev :  0.439, reliability :  0.904, time : 2098059400.000
mean :  4.632, stdev :  0.425, reliability :  0.908, time : 2098081000.000
mean :  4.631, stdev :  0.421, reliability :  0.909, time : 2098103400.000
mean :  4.633, stdev :  0.420, reliability :  0.909, time : 2098128000.000
mean :  4.613, stdev :  0.438, reliability :  0.905, time : 2098149500.000
mean :  4.588, stdev :  0.435, reliability :  0.905, time : 2098175500.000
mean :  4.606, stdev :  0.433, reliability :  0.906, time : 2098196100.000
mean :  4.622, stdev :  0.429, reliability :  0.907, time : 2098219900.000
mean :  4.630, stdev :  0.421, reliability :  0.909, time : 2098242800.000
mean :  4.644, stdev :  0.419, reliability :  0.910, time : 2098264400.000
mean :  4.630, stdev :  0.422, reliability :  0.909, time : 2098291100.000
mean :  4.637, stdev :  0.422, reliability :  0.909, time : 2098311300.000
mean :  4.637, stdev :  0.419, reliability :  0.910, time : 2098336100.000
mean :  4.626, stdev :  0.426, reliability :  0.908, time : 2098358100.000
mean :  4.628, stdev :  0.423, reliability :  0.909, time : 2098380200.000
mean :  4.610, stdev :  0.425, reliability :  0.908, time : 2098406100.000
mean :  4.592, stdev :  0.434, reliability :  0.906, time : 2098426900.000
mean :  4.602, stdev :  0.436, reliability :  0.905, time : 2098452200.000
mean :  4.591, stdev :  0.438, reliability :  0.905, time : 2098473700.000
mean :  4.606, stdev :  0.433, reliability :  0.906, time : 2098496000.000
mean :  4.598, stdev :  0.429, reliability :  0.907, time : 2098521100.000
mean :  4.590, stdev :  0.434, reliability :  0.906, time : 2098542200.000
mean :  4.602, stdev :  0.433, reliability :  0.906, time : 2098568400.000
mean :  4.586, stdev :  0.438, reliability :  0.905, time : 2098589200.000
mean :  4.596, stdev :  0.435, reliability :  0.905, time : 2098612500.000
mean :  4.596, stdev :  0.434, reliability :  0.906, time : 2098635900.000
mean :  4.583, stdev :  0.441, reliability :  0.904, time : 2098657500.000
mean :  4.601, stdev :  0.435, reliability :  0.905, time : 2098684000.000
mean :  4.595, stdev :  0.431, reliability :  0.906, time : 2098704400.000
mean :  4.595, stdev :  0.434, reliability :  0.906, time : 2098728800.000
mean :  4.601, stdev :  0.436, reliability :  0.905, time : 2098751400.000
mean :  4.588, stdev :  0.440, reliability :  0.904, time : 2098773000.000
mean :  4.606, stdev :  0.433, reliability :  0.906, time : 2098799400.000
mean :  4.596, stdev :  0.433, reliability :  0.906, time : 2098819800.000
mean :  4.586, stdev :  0.436, reliability :  0.905, time : 2098845200.000
mean :  4.595, stdev :  0.437, reliability :  0.905, time : 2098866900.000
mean :  4.582, stdev :  0.439, reliability :  0.904, time : 2098889100.000
mean :  4.592, stdev :  0.435, reliability :  0.905, time : 2098914300.000
mean :  4.590, stdev :  0.432, reliability :  0.906, time : 2098935400.000
mean :  4.572, stdev :  0.444, reliability :  0.903, time : 2098961300.000
mean :  4.584, stdev :  0.440, reliability :  0.904, time : 2098982300.000
mean :  4.578, stdev :  0.438, reliability :  0.904, time : 2099005700.000
mean :  4.583, stdev :  0.439, reliability :  0.904, time : 2099029100.000
mean :  4.589, stdev :  0.438, reliability :  0.905, time : 2099050800.000
mean :  4.577, stdev :  0.441, reliability :  0.904, time : 2099077200.000
mean :  4.589, stdev :  0.440, reliability :  0.904, time : 2099097600.000
mean :  4.584, stdev :  0.437, reliability :  0.905, time : 2099121800.000
mean :  4.584, stdev :  0.435, reliability :  0.905, time : 2099144400.000
mean :  4.594, stdev :  0.436, reliability :  0.905, time : 2099166200.000
mean :  4.586, stdev :  0.434, reliability :  0.905, time : 2099192400.000
mean :  4.615, stdev :  0.424, reliability :  0.908, time : 2099213100.000
mean :  4.595, stdev :  0.431, reliability :  0.906, time : 2099238400.000
mean :  4.599, stdev :  0.435, reliability :  0.905, time : 2099259900.000
mean :  4.584, stdev :  0.446, reliability :  0.903, time : 2099282300.000
mean :  4.587, stdev :  0.437, reliability :  0.905, time : 2099307500.000
mean :  4.595, stdev :  0.434, reliability :  0.906, time : 2099328600.000
mean :  4.610, stdev :  0.431, reliability :  0.906, time : 2099354400.000
mean :  4.591, stdev :  0.436, reliability :  0.905, time : 2099375500.000
mean :  4.602, stdev :  0.434, reliability :  0.906, time : 2099398500.000
mean :  4.598, stdev :  0.431, reliability :  0.906, time : 2099422300.000
mean :  4.594, stdev :  0.432, reliability :  0.906, time : 2099443800.000
mean :  4.604, stdev :  0.433, reliability :  0.906, time : 2099470200.000
mean :  4.593, stdev :  0.433, reliability :  0.906, time : 2099490700.000
mean :  4.599, stdev :  0.434, reliability :  0.906, time : 2099514900.000
mean :  4.611, stdev :  0.422, reliability :  0.908, time : 2099537500.000
mean :  4.596, stdev :  0.434, reliability :  0.905, time : 2099559200.000
mean :  4.604, stdev :  0.432, reliability :  0.906, time : 2099585700.000
mean :  4.602, stdev :  0.430, reliability :  0.907, time : 2099606100.000
mean :  4.603, stdev :  0.430, reliability :  0.907, time : 2099631200.000
mean :  4.602, stdev :  0.431, reliability :  0.906, time : 2099653000.000
mean :  4.588, stdev :  0.436, reliability :  0.905, time : 2099675100.000
mean :  4.603, stdev :  0.432, reliability :  0.906, time : 2099700700.000
mean :  4.595, stdev :  0.431, reliability :  0.906, time : 2099721700.000
mean :  4.592, stdev :  0.433, reliability :  0.906, time : 2099747100.000
mean :  4.600, stdev :  0.435, reliability :  0.905, time : 2099768600.000
mean :  4.591, stdev :  0.433, reliability :  0.906, time : 2099791500.000
mean :  4.598, stdev :  0.435, reliability :  0.905, time : 2099815600.000
mean :  4.595, stdev :  0.431, reliability :  0.906, time : 2099837100.000
mean :  4.588, stdev :  0.435, reliability :  0.905, time : 2099863400.000
mean :  4.598, stdev :  0.436, reliability :  0.905, time : 2099883900.000
mean :  4.587, stdev :  0.437, reliability :  0.905, time : 2099907800.000
mean :  4.600, stdev :  0.431, reliability :  0.906, time : 2099930600.000
mean :  4.600, stdev :  0.431, reliability :  0.906, time : 2099952400.000
mean :  4.585, stdev :  0.439, reliability :  0.904, time : 2099978800.000
mean :  4.597, stdev :  0.436, reliability :  0.905, time : 2099999200.000
mean :  4.593, stdev :  0.431, reliability :  0.906, time : 2100024100.000
