 0.000, reliability :    NAN, time : 583165700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 585109380.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 585130500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 585151550.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 585172480.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 585193540.000
mean :  0.164, stdev :  0.089, reliability :  0.458, time : 585214980.000
mean :  0.444, stdev :  0.093, reliability :  0.792, time : 585237820.000
mean :  0.783, stdev :  0.114, reliability :  0.855, time : 585260860.000
mean :  1.095, stdev :  0.121, reliability :  0.890, time : 585283840.000
mean :  1.384, stdev :  0.132, reliability :  0.905, time : 585307010.000
mean :  1.650, stdev :  0.139, reliability :  0.916, time : 585329980.000
mean :  1.893, stdev :  0.146, reliability :  0.923, time : 585352960.000
mean :  2.119, stdev :  0.153, reliability :  0.928, time : 585376320.000
mean :  2.326, stdev :  0.158, reliability :  0.932, time : 585399300.000
mean :  2.516, stdev :  0.164, reliability :  0.935, time : 585422400.000
mean :  2.694, stdev :  0.168, reliability :  0.938, time : 585445820.000
mean :  2.857, stdev :  0.172, reliability :  0.940, time : 585468930.000
mean :  2.978, stdev :  0.173, reliability :  0.942, time : 585492030.000
mean :  2.982, stdev :  0.173, reliability :  0.942, time : 585515650.000
mean :  2.982, stdev :  0.173, reliability :  0.942, time : 585539330.000
mean :  3.034, stdev :  0.177, reliability :  0.942, time : 585562880.000
mean :  3.174, stdev :  0.180, reliability :  0.943, time : 585586110.000
mean :  3.301, stdev :  0.184, reliability :  0.944, time : 585609470.000
mean :  3.417, stdev :  0.186, reliability :  0.946, time : 585632700.000
mean :  3.525, stdev :  0.189, reliability :  0.946, time : 585655870.000
mean :  3.625, stdev :  0.192, reliability :  0.947, time : 585679490.000
mean :  3.715, stdev :  0.193, reliability :  0.948, time : 585702660.000
mean :  3.799, stdev :  0.196, reliability :  0.948, time : 585726020.000
mean :  3.879, stdev :  0.198, reliability :  0.949, time : 585749500.000
mean :  3.950, stdev :  0.199, reliability :  0.950, time : 585772800.000
mean :  4.016, stdev :  0.201, reliability :  0.950, time : 585796220.000
mean :  4.078, stdev :  0.202, reliability :  0.950, time : 585819580.000
mean :  4.134, stdev :  0.204, reliability :  0.951, time : 585843260.000
mean :  4.185, stdev :  0.205, reliability :  0.951, time : 585866620.000
mean :  4.233, stdev :  0.206, reliability :  0.951, time : 585889980.000
mean :  4.277, stdev :  0.207, reliability :  0.952, time : 585913470.000
mean :  4.317, stdev :  0.208, reliability :  0.952, time : 585936830.000
mean :  4.354, stdev :  0.209, reliability :  0.952, time : 585960260.000
mean :  4.389, stdev :  0.210, reliability :  0.952, time : 585983490.000
mean :  4.421, stdev :  0.210, reliability :  0.952, time : 586007360.000
