00
mean :  0.170, stdev :  0.109, reliability :  0.362, time : 1205852500.000
mean :  0.218, stdev :  0.111, reliability :  0.489, time : 1205875300.000
mean :  0.229, stdev :  0.115, reliability :  0.499, time : 1205898500.000
mean :  0.171, stdev :  0.100, reliability :  0.414, time : 1205921500.000
mean :  0.134, stdev :  0.105, reliability :  0.213, time : 1205944200.000
mean :  0.136, stdev :  0.104, reliability :  0.232, time : 1205967100.000
mean :  0.159, stdev :  0.111, reliability :  0.299, time : 1205989800.000
mean :  0.183, stdev :  0.110, reliability :  0.397, time : 1206013200.000
mean :  0.201, stdev :  0.110, reliability :  0.454, time : 1206036000.000
mean :  0.220, stdev :  0.110, reliability :  0.498, time : 1206058600.000
mean :  0.247, stdev :  0.110, reliability :  0.554, time : 1206081700.000
mean :  0.275, stdev :  0.114, reliability :  0.585, time : 1206104400.000
mean :  0.285, stdev :  0.113, reliability :  0.604, time : 1206127700.000
mean :  0.294, stdev :  0.113, reliability :  0.615, time : 1206150700.000
mean :  0.301, stdev :  0.115, reliability :  0.619, time : 1206173600.000
mean :  0.308, stdev :  0.115, reliability :  0.626, time : 1206196400.000
mean :  0.321, stdev :  0.116, reliability :  0.639, time : 1206219100.000
mean :  0.321, stdev :  0.116, reliability :  0.639, time : 1206242600.000
mean :  0.326, stdev :  0.117, reliability :  0.642, time : 1206265500.000
mean :  0.323, stdev :  0.114, reliability :  0.646, time : 1206288300.000
mean :  0.313, stdev :  0.116, reliability :  0.630, time : 1206311300.000
mean :  0.301, stdev :  0.117, reliability :  0.612, time : 1206334100.000
mean :  0.285, stdev :  0.110, reliability :  0.613, time : 1206357200.000
mean :  0.271, stdev :  0.113, reliability :  0.583, time : 1206380300.000
mean :  0.268, stdev :  0.112, reliability :  0.583, time : 1206403200.000
mean :  0.268, stdev :  0.113, reliability :  0.578, time : 1206426000.000
mean :  0.278, stdev :  0.113, reliability :  0.595, time : 1206448800.000
mean :  0.295, stdev :  0.115, reliability :  0.611, time : 1206472100.000
mean :  0.293, stdev :  0.113, reliability :  0.615, time : 1206495100.000
mean :  0.291, stdev :  0.115, reliability :  0.604, time : 1206517900.000
mean :  0.289, stdev :  0.113, reliability :  0.608, time : 1206540800.000
mean :  0.294, stdev :  0.113, reliability :  0.616, time : 1206563700.000
mean :  0.324, stdev :  0.118, reliability :  0.638, time : 1206586800.000
mean :  0.385, stdev :  0.119, reliability :  0.691, time : 1206610000.000
mean :  0.505, stdev :  0.114, reliability :  0.773, time : 1206632700.000
mean :  0.585, stdev :  0.136, reliability :  0.768, time : 1206655700.000
mean :  0.757, stdev :  0.138, reliability :  0.817, time : 1206678800.000
mean :  0.910, stdev :  0.166, reliability :  0.817, time : 1206701600.000
mean :  0.611, stdev :  0.111, reliability :  0.818, time : 1206725000.000
mean :  0.415, stdev :  0.129, reliability :  0.689, time : 1206747900.000
mean :  0.332, stdev :  0.116, reliability :  0.650, time : 1206770700.000
mean :  0.291, stdev :  0.113, reliability :  0.612, time : 1206793700.000
mean :  0.272, stdev :  0.115, reliability :  0.577, time : 1206816600.000
mean :  0.268, stdev :  0.112, reliability :  0.583, time : 1206839800.000
mean :  0.266, stdev :  0.112, reliability :  0.577, time : 1206862700.000
mean :  0.259, stdev :  0.115, reliability :  0.557, time : 1206885800.000
mean :  0.233, stdev :  0.108, reliability :  0.536, time : 1206908700.000
mean :  0.182, stdev :  0.117, reliability :  0.356, time : 1206931500.000
mean :  0.092, stdev :  0.099, reliability : -0.073, time : 1206954800.000
mean :  0.033, stdev :  0.052, reliability : -0.583, time : 1206977300.000
mean :  0.020, stdev :  0.038, reliability : -0.885, time : 1206999600.000
mean :  4.216, stdev :  1.144, reliability :  0.729, time : 1207022000.000
mean :  4.644, stdev :  0.410, reliability :  0.912, time : 1207045200.000
mean :  4.209, stdev :  0.363, reliability :  0.914, time : 1207068300.000
mean :  3.120, stdev :  0.290, reliability :  0.907, time : 1207091300.000
mean :  1.579, stdev :  0.313, reliability :  0.802, time : 1207114200.000
mean :  0.704, stdev :  0.191, reliability :  0.729, time : 1207137200.000
mean :  0.521, stdev :  0.127, reliability :  0.757, time : 1207160300.000
mean :  0.686, stdev :  0.127, reliability :  0.814, time : 1207183500.000
mean :  0.956, stdev :  0.157, reliability :  0.836, time : 1207206400.000
mean :  0.989, stdev :  0.149, reliability :  0.849, time : 1207229300.000
mean :  1.015, stdev :  0.148, reliability :  0.854, time : 1207252500.000
mean :  1.008, stdev :  0.147, reliability :  0.854, time : 1207275400.000
mean :  0.957, stdev :  0.153, reliability :  0.840, time : 1207298800.000
mean :  0.907, stdev :  0.145, reliability :  0.840, time : 1207321700.000
mean :  0.836, stdev :  0.147, reliability :  0.824, time : 1207344600.000
mean :  0.763, stdev :  0.150, reliability :  0.803, time : 1207367700.000
mean :  0.703, stdev :  0.133, reliability :  0.810, time : 1207390600.000
mean :  0.658, stdev :  0.143, reliability :  0.783, time : 1207413900.000
mean :  0.637, stdev :  0.143, reliability :  0.776, time : 1207436800.000
mean :  0.612, stdev :  0.139, reliability :  0.773, time : 1207459700.000
mean :  0.600, stdev :  0.142, reliability :  0.764, time : 1207482800.000
mean :  0.596, stdev :  0.140, reliability :  0.766, time : 1207505500.000
mean :  0.596, stdev :  0.139, reliability :  0.766, time : 1207528700.000
mean :  3.668, stdev :  0.358, reliability :  0.902, time : 1207551900.000
mean :  2.976, stdev :  0.185, reliability :  0.938, time : 1207574900.000
mean :  2.573, stdev :  0.216, reliability :  0.916, time : 1207598100.000
mean :  2.281, stdev :  0.203, reliability :  0.911, time : 1207621100.000
mean :  2.054, stdev :  0.184, reliability :  0.911, time : 1207644000.000
mean :  1.884, stdev :  0.192, reliability :  0.898, time : 1207667500.000
mean :  1.749, stdev :  0.168, reliability :  0.904, time : 1207690400.000
mean :  1.638, stdev :  0.176, reliability :  0.893, time : 1207713400.000
mean :  1.550, stdev :  0.177, reliability :  0.886, time : 1207736400.000
mean :  1.473, stdev :  0.163, reliability :  0.890, time : 1207759400.000
mean :  1.417, stdev :  0.167, reliability :  0.882, time : 1207782700.000
mean :  1.378, stdev :  0.164, reliability :  0.881, time : 1207805800.000
mean :  1.340, stdev :  0.164, reliability :  0.878, time : 1207828600.000
mean :  1.307, stdev :  0.164, reliability :  0.875, time : 1207851800.000
mean :  1.289, stdev :  0.158, reliability :  0.877, time : 1207874700.000
mean :  1.262, stdev :  0.162, reliability :  0.872, time : 1207897600.000
mean :  1.233, stdev :  0.163, reliability :  0.868, time : 1207920900.000
mean :  1.204, stdev :  0.158, reliability :  0.869, time : 1207943900.000
mean :  1.177, stdev :  0.161, reliability :  0.863, time : 1207967000.000
mean :  1.162, stdev :  0.162, reliability :  0.861, time : 1207989900.000
mean :  4.656, stdev :  0.376, reliability :  0.919, time : 1208012800.000
mean :  4.640, stdev :  0.416, reliability :  0.910, time : 1208036200.000
mean :  4.647, stdev :  0.413, reliability :  0.911, time : 1208059300.000
mean :  4.648, stdev :  0.409, reliability :  0.912, time : 1208082000.000
mean :  4.645, stdev :  0.412, reliability :  0.911, time : 1208105100.000
mean :  4.654, stdev :  0.412, reliability :  0.912, time : 1208128100.000
mean :  4.640, stdev :  0.414, reliability :  0.911, time : 1208151300.000
mean :  4.649, stdev :  0.413, reliability :  0.911, time : 1208174500.000
mean :  4.650, stdev :  0.409, reliability :  0.912, time : 1208197500.000
mean :  4.638, stdev :  0.416, reliability :  0.910, time : 1208220700.000
mean :  4.653, stdev :  0.411, reliability :  0.912, time : 1208243700.000
mean :  4.641, stdev :  0.413, reliability :  0.911, time : 1208266500.000
mean :  4.647, stdev :  0.411, reliability :  0.911, time : 1208289800.000
mean :  4.652, stdev :  0.413, reliability :  0.911, time : 1208313000.000
mean :  4.636, stdev :  0.417, reliability :  0.910, time : 1208336000.000
mean :  4.653, stdev :  0.411, reliability :  0.912, time : 1208359000.000
mean :  4.644, stdev :  0.411, reliability :  0.912, time : 1208381800.000
mean :  4.643, stdev :  0.412, reliability :  0.911, time : 1208405200.000
mean :  4.650, stdev :  0.413, reliability :  0.911, time : 1208428300.000
mean :  4.642, stdev :  0.413, reliability :  0.911, time : 1208451300.000
mean :  4.651, stdev :  0.410, reliability :  0.912, time : 1208474400.000
mean :  4.650, stdev :  0.409, reliability :  0.912, time : 1208497400.000
mean :  4.640, stdev :  0.417, reliability :  0.910, time : 1208520300.000
mean :  4.651, stdev :  0.413, reliability :  0.911, time : 1208543700.000
mean :  4.647, stdev :  0.409, reliability :  0.912, time : 1208566700.000
mean :  4.649, stdev :  0.409, reliability :  0.912, time : 1208589700.000
mean :  4.654, stdev :  0.410, reliability :  0.912, time : 1208612900.000
mean :  4.645, stdev :  0.411, reliability :  0.911, time : 1208635800.000
mean :  4.649, stdev :  0.411, reliability :  0.912, time : 1208659200.000
mean :  4.649, stdev :  0.409, reliability :  0.912, time : 1208682400.000
mean :  4.656, stdev :  0.394, reliability :  0.915, time : 1208705200.000
mean :  4.651, stdev :  0.411, reliability :  0.912, time : 1208728200.000
mean :  4.646, stdev :  0.413, reliability :  0.911, time : 1208751200.000
mean :  4.646, stdev :  0.411, reliability :  0.911, time : 1208774100.000
mean :  4.652, stdev :  0.409, reliability :  0.912, time : 1208797400.000
mean :  4.642, stdev :  0.414, reliability :  0.911, time : 1208820500.000
mean :  4.650, stdev :  0.414, reliability :  0.911, time : 1208843500.000
mean :  4.647, stdev :  0.409, reliability :  0.912, time : 1208866600.000
mean :  4.645, stdev :  0.411, reliability :  0.912, time : 1208889500.000
mean :  4.650, stdev :  0.412, reliability :  0.911, time : 1208912900.000
mean :  4.643, stdev :  0.413, reliability :  0.911, time : 1208935900.000
mean :  4.648, stdev :  0.412, reliability :  0.911, time : 1208958800.000
mean :  4.649, stdev :  0.410, reliability :  0.912, time : 1208981900.000
mean :  4.639, stdev :  0.417, reliability :  0.910, time : 1209004900.000
mean :  4.651, stdev :  0.412, reliability :  0.911, time : 1209028100.000
mean :  4.646, stdev :  0.410, reliability :  0.912, time : 1209051400.000
mean :  4.647, stdev :  0.411, reliability :  0.912, time : 1209074200.000
mean :  4.652, stdev :  0.412, reliability :  0.911, time : 1209097200.000
mean :  4.640, stdev :  0.416, reliability :  0.910, time : 1209120300.000
mean :  4.654, stdev :  0.410, reliability :  0.912, time : 1209143300.000
mean :  4.650, stdev :  0.407, reliability :  0.912, time : 1209166700.000
mean :  4.643, stdev :  0.410, reliability :  0.912, time : 1209189800.000
mean :  4.652, stdev :  0.413, reliability :  0.911, time : 1209212500.000
mean :  4.640, stdev :  0.413, reliability :  0.911, time : 1209235600.000
mean :  4.652, stdev :  0.409, reliability :  0.912, time : 1209258500.000
mean :  4.652, stdev :  0.411, reliability :  0.912, time : 1209281800.000
mean :  4.638, stdev :  0.417, reliability :  0.910, time : 1209305000.000
mean :  4.651, stdev :  0.413, reliability :  0.911, time : 1209328000.000
mean :  4.650, stdev :  0.408, reliability :  0.912, time : 1209351000.000
mean :  4.646, stdev :  0.409, reliability :  0.912, time : 1209374000.000
mean :  4.652, stdev :  0.412, reliability :  0.911, time : 1209396900.000
mean :  4.642, stdev :  0.413, reliability :  0.911, time : 1209420300.000
mean :  4.653, stdev :  0.411, reliability :  0.912, time : 1209443300.000
mean :  4.650, stdev :  0.408, reliability :  0.912, time : 1209466400.000
mean :  4.640, stdev :  0.412, reliability :  0.911, time : 1209489500.000
mean :  4.652, stdev :  0.412, reliability :  0.911, time : 1209512300.000
mean :  4.644, stdev :  0.410, reliability :  0.912, time : 1209535700.000
mean :  4.650, stdev :  0.410, reliability :  0.912, time : 1209558800.000
mean :  4.655, stdev :  0.410, reliability :  0.912, time : 1209581700.000
mean :  4.638, stdev :  0.417, reliability :  0.910, time : 1209604900.000
mean :  4.649, stdev :  0.412, reliability :  0.911, time : 1209627800.000
mean :  4.650, stdev :  0.409, reliability :  0.912, time : 1209650700.000
mean :  4.643, stdev :  0.410, reliability :  0.912, time : 1209674100.000
mean :  4.651, stdev :  0.413, reliability :  0.911, time : 1209697000.000
mean :  4.641, stdev :  0.413, reliability :  0.911, time : 1209720100.000
mean :  4.651, stdev :  0.409, reliability :  0.912, time : 1209743100.000
mean :  4.652, stdev :  0.409, reliability :  0.912, time : 1209766000.000
mean :  4.640, stdev :  0.414, reliability :  0.911, time : 1209789600.000
mean :  4.654, stdev :  0.410, reliability :  0.912, time : 1209812500.000
mean :  4.645, stdev :  0.410, reliability :  0.912, time : 1209835500.000
mean :  4.648, stdev :  0.411, reliability :  0.912, time : 1209858400.000
mean :  4.652, stdev :  0.412, reliability :  0.911, time : 1209881500.000
mean :  4.644, stdev :  0.412, reliability :  0.911, time : 1209904600.000
mean :  4.652, stdev :  0.410, reliability :  0.912, time : 1209927900.000
mean :  4.649, stdev :  0.409, reliability :  0.912, time : 1209950800.000
mean :  4.641, stdev :  0.413, reliability :  0.911, time : 1209974000.000
mean :  4.652, stdev :  0.413, reliability :  0.911, time : 1209996900.000
mean :  4.642, stdev :  0.411, reliability :  0.911, time : 1210019800.000
mean :  4.650, stdev :  0.409, reliability :  0.912, time : 1210043300.000
mean :  4.654, stdev :  0.410, reliability :  0.912, time : 1210066400.000
mean :  4.642, stdev :  0.414, reliability :  0.911, time : 1210089300.000
mean :  4.651, stdev :  0.412, reliability :  0.912, time : 1210112400.000
