0.000, reliability :    NAN, time : 853358020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855278720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855299780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855320770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855342530.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855362940.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855384580.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855404930.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855426300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855447740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855468420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855490300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855510530.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855532160.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855552770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855574140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855595390.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855616130.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855638080.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855658180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855679810.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855700610.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855721790.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855743230.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855763840.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855785660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855805760.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855827390.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855848380.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855869440.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855891140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855911620.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855933250.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855953730.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855975100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 855996350.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856017220.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856039100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856059260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856080960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856101500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856122820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856144190.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856164930.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856186820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856206980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856228610.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856249280.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856270590.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856292100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856312640.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856334530.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856354620.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856376260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856397250.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856418240.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856439870.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856460420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856482110.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856502460.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856523900.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856545020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856565950.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856587780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856608130.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856629760.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856650240.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856671620.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856692930.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856713730.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856735550.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856755710.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856777470.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856798020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856819330.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856840770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856861440.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856883260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856903360.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856925060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856945790.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856967100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 856988540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857009090.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857030980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857051140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857072700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857093630.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857114690.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857136320.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857156860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857178500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857198980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857220350.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857241600.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857262400.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857284290.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857304580.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857326140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857346690.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857368060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857389380.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857410110.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857432060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857452160.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857473790.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 857494460.000
