.eliability :    NAN, timean :  0.000, stdev :  0.000, reliability :    NAN, time : 6475199.500
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8346586.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8367630.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8388630.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8409619.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8430582.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8451542.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8472525.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8493504.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8514481.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8535447.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8556433.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8577412.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8598388.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8619379.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8640371.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8661361.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8682342.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8703321.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8724305.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8745270.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8766257.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8787231.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8808209.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8829201.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8850194.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8871185.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8892161.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8913140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8934125.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8955119.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8976109.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 8997106.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9018093.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9039075.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9060053.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9081041.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9102006.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9122990.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9143986.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9164980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9185948.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9206935.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9227922.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9248913.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9269905.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9290900.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9311889.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9332885.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9353882.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9374868.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9395860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9416850.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9437845.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9458834.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9479828.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9500818.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9521800.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9542799.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9563800.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9584788.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9605787.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9626775.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9647770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9668772.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9689778.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9710777.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9731767.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9752756.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9773746.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9794746.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9815734.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9836725.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9857713.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9878704.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9899700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9920698.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9941687.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9962676.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 9983669.000
mean :  0.074, stdev :  0.072, reliability :  0.028, time : 10004874.000
mean :  0.428, stdev :  0.100, reliability :  0.767, time : 10027534.000
mean :  0.766, stdev :  0.112, reliability :  0.854, time : 10050360.000
mean :  1.075, stdev :  0.120, reliability :  0.889, time : 10073120.000
mean :  1.362, stdev :  0.131, reliability :  0.904, time : 10095911.000
